net,length_um
_10388_,235.45
_13439_,235.16
_12473_,235.1
_09442_,235.095
_12995_,235.01
_11371_,234.82
_10999_,234.52
datamem.data_ram\[52\]\[3\],234.46
_13493_,234.38
_12752_,234.35
_06642_,234.29
_07226_,234.28
_05021_,234.19
_13665_,233.97
_12999_,233.89
_10552_,233.8
net93,233.67
_10454_,233.56
_13442_,233.5
_08776_,233.28
_13447_,233.19
_10056_,232.84
_13420_,232.83
net28,232.68
datamem.data_ram\[53\]\[8\],232.59
_13328_,232.56
_10724_,232.46
_10621_,232.4
rvcpu.dp.plde.luiE,232.34
_14420_,231.97
net40,231.94
net89,231.94
_13398_,231.9
rvcpu.dp.plde.ImmExtE\[19\],230.93
_12941_,230.53
_11372_,230.36
_10612_,229.74
_14396_,229.3
_13757_,229.02
_05154_,228.5
_12905_,228.38
_08725_,228.035
clknet_5_15__leaf_clk,227.71
_12089_,227.57
_04840_,227.4
_10279_,227.39
_12968_,227.33
_10970_,227.32
_13401_,227.05
_09302_,227
_08755_,226.91
_10316_,226.7
_07276_,226.4
datamem.data_ram\[52\]\[8\],226.13
_04757_,225.9
_13501_,225.83
rvcpu.dp.plfd.InstrD\[22\],225.32
clknet_5_11__leaf_clk,225.24
rvcpu.ALUResultE\[4\],225.18
_10611_,225.12
_13523_,225.04
clknet_5_2__leaf_clk,224.98
_13327_,224.75
_09585_,224.6
_14114_,224.24
_05161_,224.11
_13370_,224
_11684_,223.87
_11124_,223.77
_10249_,223.76
net61,223.7
_09481_,223.19
_08720_,223.12
net57,223.12
_12768_,222.98
_09300_,222.715
_13322_,222.61
_08882_,222.52
_11539_,222.415
rvcpu.ALUResultE\[5\],222.27
_14274_,222.24
_12431_,222.15
net50,222.06
_13438_,221.91
_09059_,221.56
_12932_,221.47
_13429_,221.43
_07297_,221.3
_09279_,221.15
_11679_,221.1
_10762_,220.92
clknet_5_31__leaf_clk,220.86
net54,220.84
_13132_,220.76
_09817_,220.57
_10766_,220.26
_11146_,220.24
net48,220
_13112_,219.76
_10126_,219.5
_09371_,218.26
_13378_,218.07
_08806_,217.835
rvcpu.dp.plfd.InstrD\[23\],217.79
rvcpu.ALUResultE\[6\],217.72
